ticker,rows,peak_fair,best_ask,peak_edge,peak_gap,strong75,cheap45,cheap50,joint45,joint50,edge8,gap25,side_switches,first75_left,first45_left,first50_left
KXBTC15M-26AUG211445-45,12,0.8993368812303104,0.39,0.4237253971957797,387.6900000000023,True,True,True,True,True,True,True,1,14.0,14.0,14.0
KXBTC15M-26AUG211845-45,14,0.882795169430911,0.41,0.3985839493221885,222.20000000001164,True,True,True,True,True,True,True,1,14.0,5.0,5.0
KXBTC15M-26AUG211900-00,14,0.868515826497742,0.35,0.392811711649448,230.0399999999936,True,True,True,False,True,True,True,2,14.0,3.0,7.0
KXBTC15M-26AUG212130-30,13,0.8965649140072877,0.4499999999999999,0.2775604016837774,167.27000000000407,True,True,True,False,False,True,True,1,12.0,13.0,13.0
KXBTC15M-26AUG212145-45,14,0.9181394355751488,0.28,0.372746459812485,181.88000000000463,True,True,True,False,False,True,True,3,13.0,6.0,6.0
KXBTC15M-26AUG212245-45,14,0.8770657244179052,0.17,0.6398571999662624,166.0399999999936,True,True,True,True,True,True,True,2,14.0,13.0,13.0
KXBTC15M-26AUG212315-15,14,0.9209537722538582,0.47,0.3486308909623234,215.4099999999889,True,False,True,False,True,True,True,1,14.0,,14.0
KXBTC15M-26AUG220345-45,14,0.8723335907871934,0.41,0.2624840673393131,105.38999999999942,True,True,True,False,False,True,True,3,12.0,11.0,14.0
KXBTC15M-26AUG220500-00,14,0.889672746868504,0.72,0.1252684958412665,136.97000000000116,True,False,False,False,False,True,True,0,14.0,,
KXBTC15M-26AUG220545-45,14,0.8437417686680022,0.43,0.2479678269124373,49.75,True,True,True,False,False,True,True,3,6.0,10.0,14.0
KXBTC15M-26AUG220845-45,14,0.8528263514229788,0.12,0.6887263465660287,94.0300000000134,True,True,True,True,True,True,True,1,13.0,2.0,2.0
KXBTC15M-26AUG220930-30,14,0.8682429645136308,0.25,0.3848683802424129,89.02000000000407,True,True,True,True,True,True,True,3,10.0,5.0,13.0
