timestamp_utc,mid_price,price_change_30s,trade_count,aggressive_buy_notional,aggressive_sell_notional,total_notional,flow_imbalance,largest_trade_notional,largest_trade_side,trades_ge_250k,trades_ge_500k,trades_ge_1m,notional_zscore,buy_notional_zscore,sell_notional_zscore,bid_depth_25,ask_depth_25,book_imbalance,flow_label,absorption_label
2026-08-24T13:46:56.549613+00:00,78116.35500000001,0.0,1000,76085.4861952576,165587.58992295119,241673.0761182088,-0.37034371045914816,24006.476191169502,BUY,0,0,0,0.0,0.0,0.0,614366.8134418067,129438.6475579441,0.6519556407021662,NORMAL_OR_MIXED,NONE
2026-08-24T13:47:26.094005+00:00,78181.16500000001,64.80999999999767,1000,310388.4162393122,462119.5052844234,772507.9215237356,-0.19641363514542187,39116.0,SELL,0,0,0,0.0,0.0,0.0,553060.9740069378,261268.2940200834,0.3583227220775419,NORMAL_OR_MIXED,NONE
2026-08-24T13:47:56.089659+00:00,78181.765,0.5999999999912689,1000,191192.28526389922,80155.351797671,271347.6370615702,0.4092054556606784,20934.668983038402,BUY,0,0,0,0.0,0.0,0.0,151541.4905866305,378011.9937757176,-0.42766313484234236,NORMAL_OR_MIXED,NONE
2026-08-24T13:48:26.268206+00:00,78240.11499999999,58.34999999999127,1000,82181.5710108082,60855.189262881904,143036.7602736901,0.1490972090469601,12008.761849671,BUY,0,0,0,0.0,0.0,0.0,313673.7143378616,115787.9451933797,0.46077633416793196,NORMAL_OR_MIXED,NONE
2026-08-24T13:48:56.100739+00:00,78291.495,51.38000000000466,1000,262539.5934383967,132590.9266665918,395130.5201049885,0.3288752960345274,12014.8740957048,SELL,0,0,0,0.0,0.0,0.0,278380.1790495092,218765.3450615201,0.11991425266191295,NORMAL_OR_MIXED,NONE
2026-08-24T13:49:26.290803+00:00,78258.58499999999,-32.91000000000349,1000,97693.4239094878,176467.90379225332,274161.32770174113,-0.2873289261586299,48033.713463085005,SELL,0,0,0,0.0,0.0,0.0,51776.6695294241,396978.4667263106,-0.7692431112368692,NORMAL_OR_MIXED,NONE
2026-08-24T13:49:56.081772+00:00,78240.125,-18.45999999999185,1000,181436.9408923852,180033.2083631882,361470.1492555734,0.0038833982061531485,12017.637661684,SELL,0,0,0,0.0,0.0,0.0,56827.5545126725,187497.4826727592,-0.5348200481840676,NORMAL_OR_MIXED,NONE
2026-08-24T13:50:26.165264+00:00,78254.39499999999,14.269999999989523,1000,63767.7836113097,122552.8329658151,186320.6165771248,-0.31550480260552466,12011.19130369,SELL,0,0,0,0.0,0.0,0.0,473149.4367256508,333909.2202784035,0.17252800058440837,NORMAL_OR_MIXED,NONE
2026-08-24T13:50:56.097331+00:00,78349.595,95.20000000001164,1000,521616.6747747503,145080.2649939909,666696.9397687411,0.5647789682541059,35934.090609194995,BUY,0,0,0,1.8255243646197958,4.169929202229235,-0.2352091741328991,555145.0950281201,86018.75591618568,0.7316793334823937,BUY_IMBALANCE,NONE
2026-08-24T13:51:26.432643+00:00,78359.11499999999,9.519999999989523,1000,257264.3441971167,510223.05882639566,767487.4030235123,-0.32959331141169157,58096.79491955759,SELL,0,0,0,1.9664945739300204,0.41730357270881624,3.0855248721620607,477579.76725130127,215708.89309986317,0.3777227136800353,NORMAL_OR_MIXED,NONE
2026-08-24T13:51:56.255831+00:00,78302.345,-56.76999999998952,1000,59559.275399007696,240246.2356818637,299805.5110808714,-0.602680583260247,15711.959819433601,SELL,0,0,0,-0.47671089717732307,-1.0758185856531104,0.25059841125428667,240850.780072187,250806.0365415127,-0.02024838491591112,SELL_IMBALANCE,NONE
